datetime,A Bus Voltage,A Current,Set Voltage,digital intput
2023-05-19 14:24:41.978480,0.86 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:41.995366,0.86 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.013207,0.86 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.030910,0.86 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.262842,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.273027,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.290276,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.309598,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.327493,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.346558,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.363832,0.94 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.590743,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.601503,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.615492,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.631908,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.652966,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.675302,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.693254,0.88 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.918478,0.91 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:42.960233,0.91 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:42.977096,0.91 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:42.994438,0.91 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:43.013122,0.91 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:43.031358,0.91 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:43.050902,0.91 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:43.246026,0.92 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:43.256743,0.92 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.271823,0.92 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.290073,0.92 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.308381,0.92 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.329282,0.92 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.348459,0.92 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.573752,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.584163,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.599115,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.616559,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.636503,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.655664,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.674726,0.87 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.901679,0.95 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:43.916646,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:43.927648,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:43.943376,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:43.963946,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:43.980812,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:44.001744,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:44.228995,0.86 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:44.239708,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.256255,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.274585,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.293289,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.313025,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.330641,0.86 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.556700,0.93 V,-0.20 mA,0.50,618.65
2023-05-19 14:24:44.567144,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.583966,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.601806,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.623864,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.644349,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.664760,0.93 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.884543,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.900246,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.921424,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.941734,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.962730,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:44.981905,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.000139,0.91 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.212119,0.90 V,-0.40 mA,0.50,618.65
2023-05-19 14:24:45.226030,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.244314,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.260785,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.279975,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.298532,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.315747,0.90 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.539985,0.95 V,-0.30 mA,0.50,618.65
2023-05-19 14:24:45.550088,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:45.565265,0.95 V,-0.50 mA,0.50,618.65
2023-05-19 14:24:45.584595,0.95 V,-0.50 mA,0.50,618.65
