datetime,A Bus Voltage,A Current,Feed voltage in,Recirculation voltage in,Feed voltage set
2023-08-15 18:16:08.881571,1.12 V,120.60 mA,0.00,0.20,-2.80
2023-08-15 18:16:14.925226,0.00 V,119.80 mA,0.00,0.20,-2.80
2023-08-15 18:16:20.968373,0.00 V,60.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:01.219997,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:10.218634,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:19.217541,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:25.217637,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:32.216006,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:38.216106,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:17:47.215226,0.00 V,106.30 mA,0.00,0.20,-2.80
2023-08-15 18:21:32.892282,1.11 V,119.90 mA,0.00,0.00,-2.80
2023-08-15 18:21:38.934701,20.98 V,120.80 mA,0.00,0.00,-2.80
2023-08-15 18:21:44.977855,0.00 V,108.70 mA,0.00,0.00,-2.80
2023-08-15 18:21:51.020432,32.00 V,119.80 mA,0.00,0.00,-2.80
2023-08-15 18:21:57.063039,0.00 V,119.70 mA,0.00,0.00,-2.80
2023-08-15 18:22:04.104674,1.10 V,89.60 mA,0.00,0.20,-2.80
2023-08-15 18:22:10.147523,1.42 V,120.60 mA,0.00,0.20,-2.80
2023-08-15 18:22:16.190382,0.00 V,103.40 mA,0.00,0.20,-2.80
2023-08-15 18:22:22.233637,1.08 V,119.90 mA,0.00,0.20,-2.80
2023-08-15 18:22:28.277572,0.95 V,120.40 mA,0.00,0.20,-2.80
2023-08-15 18:22:35.320601,0.00 V,111.00 mA,0.00,0.20,-2.80
2023-08-15 18:22:41.364577,32.00 V,120.10 mA,0.00,0.20,-2.80
2023-08-15 18:22:47.408961,0.00 V,113.60 mA,0.00,0.20,-2.80
2023-08-15 18:22:53.452990,0.10 V,120.30 mA,0.00,0.20,-2.80
2023-08-15 18:22:59.497070,32.00 V,114.30 mA,0.00,0.20,-2.80
2023-08-15 18:23:06.540704,0.84 V,108.00 mA,0.00,0.20,-2.80
2023-08-15 18:25:25.496180,1.12 V,119.20 mA,0.00,0.20,-2.80
2023-08-15 18:25:31.538899,0.00 V,120.60 mA,0.00,0.20,-2.80
2023-08-15 18:25:37.581731,0.00 V,47.10 mA,0.00,0.20,-2.80
2023-08-15 18:25:43.623509,1.12 V,120.20 mA,0.00,0.20,-2.80
2023-08-15 18:25:49.666012,0.00 V,120.50 mA,0.00,0.20,-2.80
2023-08-15 18:25:56.708341,0.97 V,46.30 mA,0.00,0.20,-2.80
2023-08-15 18:26:02.751333,0.00 V,120.80 mA,0.00,0.20,-2.80
2023-08-15 18:26:08.794647,1.07 V,56.20 mA,0.00,0.20,-2.80
2023-08-15 18:26:14.837531,0.11 V,120.60 mA,0.00,0.20,-2.80
2023-08-15 18:26:20.880915,1.06 V,53.90 mA,0.00,0.20,-2.80
2023-08-15 18:26:27.922628,0.73 V,120.60 mA,0.00,0.20,-2.80
2023-08-15 18:26:33.965505,0.00 V,47.10 mA,0.00,0.20,-2.80
2023-08-15 18:26:40.008860,0.60 V,120.40 mA,0.00,0.20,-2.80
2023-08-15 18:26:46.051641,1.03 V,51.40 mA,0.00,0.20,-2.80
2023-08-15 18:26:52.094133,0.00 V,120.20 mA,0.00,0.20,-2.80
2023-08-15 18:26:59.136375,1.09 V,105.40 mA,0.00,0.20,-2.80
2023-08-15 18:27:05.179280,0.00 V,120.40 mA,0.00,0.20,-2.80
2023-08-15 18:27:11.221876,0.00 V,46.90 mA,0.00,0.20,-2.80
2023-08-15 18:27:17.264226,1.08 V,120.10 mA,0.00,0.20,-2.80
2023-08-15 18:27:23.307072,1.20 V,119.80 mA,0.00,0.20,-2.80
2023-08-15 18:27:30.349476,32.00 V,120.50 mA,0.00,0.20,-2.80
2023-08-15 18:27:36.392568,2.72 V,120.70 mA,0.00,0.20,-2.80
2023-08-15 18:27:42.436768,0.00 V,108.10 mA,0.00,0.20,-2.80
2023-08-15 18:27:48.480898,1.12 V,120.10 mA,0.00,0.20,-2.80
2023-08-15 18:27:54.524986,32.00 V,120.90 mA,0.00,0.20,-2.80
2023-08-15 18:28:01.569368,0.41 V,120.10 mA,0.00,0.20,-2.80
